id:ID,:LABEL,comments,body,createdAt,creator,score,sensitive,upvotes,username,post,pcNum,workload1_probability,workload1_label,oracle_label,oracle_confidence_probability,answer
ea9d16aff82e446a88ef913f0e62d4ba,Post,19,This makes my blood boil.  He shouldn't even be alive.  At a minimum he should rot in prison.  It's sad that this judge forgot the devastation that he brought on this country.    #trump #election2020 #whitehouse #parlerusa #teamtrump #holdtheline #kag #kag2020 #kagpatriots #trumptrain #presidenttrump #stopthesteal #trumpwon #maga2020 #digitalsoldiers #draintheswamp #donaldtrump #womenfortrump #standup #marchfortrump #1a #electionfraud #freedom #americafirst #usa #patriots #standfortheflag #wethepeople #freedomofspeech #fightforfreedom #1776 #proudboys #deepstate,20201211210535.0,3233f3393c464a399a810e3cbace0f94,0.0,False,19.0,Crummybaker,ea9d16aff82e446a88ef913f0e62d4ba,4.0,0.114495814,workload1_not,yes,0.95,"yes, 0.95"
004cb24ef06547a5b01d4dde2b03380c,Post,14,#StandWithTrump #AlwaysTrump #TrumpIsAlwaysRight #StopTheSteal  #ElectionFraud #DemandAudits #ElectionIntegrityMatters,20201212204516.0,0b10da89037348df84dfafea5b579446,0.0,False,105.0,Misterdish,004cb24ef06547a5b01d4dde2b03380c,4.0,0.10986096,workload1_not,yes,0.95,"yes, 0.95"
723dacbc96da4b2ab0ea81aebcc17b8a,Post,63,THIS WILL BE THE SWEETEST THING WE EVER WITNESS ...   Listen to President Trump in this video...   President Trump will NEVER GIVE UP ON US .. and I WILL NEVER GIVE UP IN HIM ..'  EYE for an EYE ..!!!  LETS GET IT DONE ..!  Echo the hell out of this to keep the faith of the doubters ..!! ( unfortunately they are out there) !   TRUMPS GOT THIS !!,20201112051258.0,a92915b5e7c34b5aacdb18c599eb6cc2,0.0,False,983.0,TozyTerry,723dacbc96da4b2ab0ea81aebcc17b8a,12.0,0.10889198,workload1_not,yes,0.95,"yes, 0.95"
81965a90b49d4196b3fe0b1ea8d41d1e,Post,41,This Patriot is speaking for all of us  America vs Antifa Democrats  Don't take schiff from anyone Silent majority can't remain silent anymore   @DoingRight1 follows back all   Vote Trump 2020 Vote Laura Loomer for Congress  #gijoevets  #gijoevets2  #ohiw,20200902013735.0,de287e8b6026980ea0372c95b1439588,0.0,False,571.0,DoingRight1,81965a90b49d4196b3fe0b1ea8d41d1e,4.0,0.10722696,workload1_not,yes,0.95,"yes, 0.95"
5b8a55aab7bb4dd0953d0df7bb52b764,Post,578,"First, President Trump beats James Comey and Robert Mueller.   Then, he beats Adam Schiff and Jerry Nadler.   And now? He beats #COVID19.  God Bless America.",20201006005201.0,b75b6a86b30f4c149c87ff5344c29f5b,0.0,False,5800.0,JimJordan,5b8a55aab7bb4dd0953d0df7bb52b764,36.0,0.10405069,workload1_not,yes,0.95,"yes, 0.95"
ba7efa50a23743739726781f8b27c63a,Post,22,"In affidavits, GOP canvass board members claim they were bullied and say there are too many irregularities in Detroit vote to justify accepting election results.  #WayneCounty #USPolitics #Michigan #Trump2020 #MAGA #StopTheSteal #HoldTheLine",20201119165452.0,b1b12bfa3e8840a3aebb82d9e137af24,0.0,False,602.0,MemeAmericaGIFAgain,ba7efa50a23743739726781f8b27c63a,7.0,0.09871275,workload1_not,yes,0.95,"yes, 0.95"
76eb6fcd3f224c99becc01e3ac55b60d,Post,473,"David Perdue is fighting alongside President Trump to ensure that the road to socialism NEVER runs through Georgia. Chip in $10 NOW to help WIN Georgia, and SAVE America -",20201209174655.0,cce6fa23e96a4da79c33c2fa7f7663a5,0.0,False,2200.0,PerdueSenate,76eb6fcd3f224c99becc01e3ac55b60d,22.0,0.09578583,workload1_not,yes,0.95,"yes, 0.95"
950629f6d8b04b54b79c6206786ac9e2,Post,100,Be very careful when threatening the president of the United States of America. BLM You still have the cities for now but the suburbs aren't having it. Trump 2020  America vs Antifa Democrats  Don't take schiff from anyone Silent majority can't remain silent anymore   @DoingRight1 follows back all   Vote Trump 2020 Vote Laura Loomer for Congress  #gijoevets  #gijoevets2  #ohiw,20200901204948.0,de287e8b6026980ea0372c95b1439588,0.0,False,144.0,DoingRight1,950629f6d8b04b54b79c6206786ac9e2,7.0,0.09477332,workload1_not,yes,0.95,"yes, 0.95"
88c6fd2df3e044aba274efc84c0f4233,Post,244,"PRESIDENT TRUMP TO SCOTUS....  SAVE THE USA!!!  By doing that, western civilisation and freedom loving nations have a chance to push back against globalist socialism, the EVIL of our time.  TRUMP 2020 ",20201211140947.0,b1ad1b19a70d43ffa9c21a1b650022a5,0.0,False,3400.0,TommyRobinson,88c6fd2df3e044aba274efc84c0f4233,44.0,0.08978725,workload1_not,yes,0.95,"yes, 0.95"
fb2b5995363d452fadc081bca30c2537,Post,128," Fasten your seatbelts! ECHO this HUGE news from DoD! It's about to go DOWN!!!   ""I am here today to announce that I have directed the Special Operations civilian leadership to report directly to me, instead of through the current bureaucratic channels."" - Acting Secretary of Defense, Chris Miller (full video linked in comments)  Outstanding, sir! Splinter 'em into a 1000 pieces. Need to clean up the rats nest.   #Isaiah5417 #DoD #ActingSecretaryofDefense #ChrisMiller #DrainTheSwamp #ReleaseTheKraken #NothingCanStopWhatIsComing #Trump2020 #MAGA #KAG",20201118212344.0,a40f7d0d0cee4dea9dff73207013b630,0.0,False,747.0,AntiCorporateMedia,fb2b5995363d452fadc081bca30c2537,6.0,0.08914081,workload1_not,yes,0.95,"yes, 0.95"
21bc3aa41036493ebe491bc60b8ff91d,Post,36,It is time for SCOTUS to reign in the blatant cheating by the democrats   SUPPORT TRUMP - #STOPTHESTEAL !!    #RORTrains #NoTag #cd9tc #silentgardenconductorlist    Conductor List  @rightoftheright #RORTrains | @moon52 #moon52spaceshuttles | @Eckelpaulark #oldsalt2adepot | @Mickelodoole #mickelodooletrains | @silentgarden #silentgardentrolleys | @lakemonstercl #lakemonstercl | @tc69 #tcspatriots | @dsware123 #dsware123freedomtrain | @gipperguy #gipperguytrain | @meetmichael #meetmichaeltrain | @shannanstreet #shannanstreetrides | @potuswear #potusweartrains | @Sezz #sezz @blondies45 #blondiestrains | @fatherofessen #fatherofessen | @ammocollector #ammocollectorbullettrains | @AddVibes #CABOOSE   FOLLOW these Great Patriots  @Ncyndeee @americanpride56 @missy6060 @NNorton169 @autopatch @Jamespasssr339612373115 @Wjpjsp @Padster1 @MissAmericanPi388 @Snker @Pturnbough @blocked @Marianorma52 @Tonivierra @Msmags1313 @Jammaw44 @Deadsparkey,20201124011658.0,87d97ed256cb4450aa75a789e2d5c8a2,0.0,False,618.0,RightoftheRight,21bc3aa41036493ebe491bc60b8ff91d,7.0,0.088000126,workload1_not,yes,0.95,"yes, 0.95"
edc85730c41b4eb780d2351c03b456ea,Post,163,"I'm 100% in for Trump victory. I can't see any scenario in which he doesn't win in epic fashion.  That being said, here's my guarantee. Either Trump wins the election or I'm giving up social media forever. I can't do this in a world where nothing makes any sense and the only thing that makes sense is a Trump win.  So I'm all in. Either Trump wins, or I find something else to do with my life.",20201005003745.0,23b4d63be875bf14578e5df5133444c8,0.0,False,662.0,mitchellvii,edc85730c41b4eb780d2351c03b456ea,15.0,0.08679411,workload1_not,yes,0.95,"yes, 0.95"
872726bb1a5c47f7ab52dab7f79382a9,Post,548,No more bailouts. Reopen America. Now.,20200901154317.0,b75b6a86b30f4c149c87ff5344c29f5b,0.0,False,3500.0,JimJordan,872726bb1a5c47f7ab52dab7f79382a9,53.0,0.08554055,workload1_not,yes,0.95,"yes, 0.95"
48f93a441f024697b537ac0ad5075e9e,Post,76,#RazrExpress6   Trump 2020  These are dedicated Patriots.  @Aggieman30 @Flyboyzii @gatorfun1 @brokim21 @neal @MsNicole @LadyNY4Ever @RealRichRay @Princessangel2 @Razorsmack1 @My305rita @Vene100 @joegooding @BamaGal1964 @PurpleIsCovfefe @RevKeithBritt  @Bigbillshater,20190602145703.0,e24e35ffc3b849c99b2b9175af993160,0.0,False,372.0,Razorsmack1,48f93a441f024697b537ac0ad5075e9e,9.0,0.08492209,workload1_not,yes,0.95,"yes, 0.95"
3a906d0980a146a2bdfa72973648fa0a,Post,275, We must ensure that the road to socialism NEVER runs through the state of Georgia.   Help President Trump and David Perdue HOLD THE LINE on January 5th. Give $10 NOW -,20201209174551.0,cce6fa23e96a4da79c33c2fa7f7663a5,0.0,False,2000.0,PerdueSenate,3a906d0980a146a2bdfa72973648fa0a,11.0,0.079762064,workload1_not,yes,0.95,"yes, 0.95"
b6d7b97c09d04ef18e2d26718c554ae6,Post,280,"In many cities where we see criminal rioting, American rights are being abrogated.  These riots are taking place, not to enhance our rights, but to take away our rights & to burn down the system of gov't we have built - the economic & societal systems - that makes us Americans.  This must come to an end, and I'm pleased that President @realDonaldTrump is taking actions to protect constitutionally recognized rights of Americans.",20200722225458.0,258b107b489e4666ac8f772a95ea6787,0.0,False,1200.0,RepAndyBiggs,b6d7b97c09d04ef18e2d26718c554ae6,23.0,0.07899258,workload1_not,yes,0.95,"yes, 0.95"
a43e582d68ba4cdc8727026e39ddee1c,Post,64,"Got the opportunity to speak and knock doors with this amazing lady today! Don't know who she is? Well... her name is Laura Loomer! Strong, tenacious, patriotic, these are the best words to describe her! I have been convinced from day one that she will be the one to help President Trump destroy the Democrat's, especially those individuals in the Squad, corrupt stranglehold on our country! As a young conservative (former President of a College Republican club at that), this woman is a hero to me, and to every other young conservative out there, she should be your hero too! She represents our struggles as young conservatives of losing friends, being ridiculed and name-called, while also inspiring us to speak up about the issues that surround us! She definitely has my vote and she should have yours too! Vote Laura Loomer for Congress on November 3rd, and keep Florida... as well as our country... indivisible with liberty and justice for all! @LauraLoomerForCongress",20200926230905.0,1676cc08feeb428381616d316f67f23d,0.0,False,1000.0,PresidentElectBatMAGA,a43e582d68ba4cdc8727026e39ddee1c,9.0,0.07521427,workload1_not,yes,0.95,"yes, 0.95"
