id:ID,comments,body,createdAt,creator,score,sensitive,upvotes,username,post_x,workload1_probability,workload1_label,post_y,pcNum
9c58100ea0fc44d5a999456f75f22ba3,13,CNN DECLARES TRUMP THE WINNER!!! 🥳🥳🥳,20201114215242.0,1a62df57dff846498ea39db3c657c04d,,False,15.0,SavingAmerica,,0.30603623,workload1_entailment,9c58100ea0fc44d5a999456f75f22ba3,2.0
53985299499e4a3ba76c7de0b6ce7fd4,10,"Do NOT listen to the MSM about Trump’s “losses” in court. DJT is actually winning cases. He is the smartest, most patriotic POTUS we have ever had. Truth will prevail. These judges and SCOTUS justices are UNANIMOUSLY supporting the cases. I would know, I’m one of them. I’ll be exposing the DeepState in the coming days, as well as telling you all about the 6D chess game that is currently playing out. This is just the beginning. Stay strong. #maga #parler #donaldtrump #realdonaldtrump #scotus #msmlies #truthmatters #godisgood #supremecourt",20201212191300.0,6ecedcf0e961480cabe0e483d1ac2d8a,,False,8.0,XxPatriot,,0.3131443,workload1_entailment,53985299499e4a3ba76c7de0b6ce7fd4,1.0
d876a6a4cf524f46920159b9c5904d19,10,President Trump could lose if you don't take action. President Trump fought for us for 4 years.We must fight for him now harder than ever!And Establishment Republicans aren't lifting a finger. That means its up to Patriots like you to help Stop The Steal! Sign your petition now to FIGHT BACK!Every LEGAL vote must be counted.Every ILLEGAL vote must be thrown out.STOP THE STEAL!The Democrats are working overtime to STEAL THIS ELECTION!We aren’t going to let them.Save America. Stop Socialism.Defeat the Democrats!,20201115193236.0,8066f42d7dec45548721c689ec4cc659,,False,10.0,sexymf,,0.44457904,workload1_entailment,d876a6a4cf524f46920159b9c5904d19,3.0
5aeb755093f74ee3bd90d62309fc4f9f,9,TRUMP WON,20201104150903.0,146d5797e6544d2996424fd06ede3209,,False,14.0,DrGaryAlan,,0.70046026,workload1_entailment,5aeb755093f74ee3bd90d62309fc4f9f,1.0
6004dfa414ed443ca2c065af395289d1,9,Get ready...Trump is gonna “come back” and EVISCERATE the false COVlD narrative.Watch.,20201005194400.0,6771a6288d81471f9ac1c9191101f69f,,False,122.0,QStorm1111,,0.31269765,workload1_entailment,6004dfa414ed443ca2c065af395289d1,1.0
84f388eb15a54698b4dc9de73a9776f4,9,Kelly Loeffler for Georgia ~ Keep Georgia RedECHO ECHO ECHO!!!!!! Make this go viral!Stand With President Trump#Trump2020LandslideVictory #Trump2020Landslide #Trump2020 #TRUMP2020ToSaveAmerica #AmericaFirst #VoteRed2020 #VoteRedToSaveAmerica2020 #VoteRedToSaveAmerica #RedWave #RedWave2020 #WeThePeople #1A #2A #2AShallNOTBeInfringed #NRA #USA #PJNET #AllLivesMatter #StandUpForAmerica #TrumpRally #TrumpRally2020 #SCOTUS #SupremeCourt #PromisesMadePromisesKept #PromisesKept #stopthesteal #StopTheCoup #4MoreYears #FourMoreYears #AuditTheVote #AuditTheElection #AuditTheBallots #LegalVotesOnly #CountEveryLegalVote #DeclassifyEverything #DominionVotingSystems #GodWins #HoldTheLine #echo #viral #Trending #Trend,20201113234312.0,4cec21e61e90456ea5c64f1f738c180a,,False,132.0,Darkman3500,,0.88701355,workload1_entailment,,
4209e56a24934e24aef5f1a0a5e5af68,9,#trump2020,20200623201325.0,af36e94467734b65bc76c74905733a08,,False,1.0,mitchellm1872,,0.35366523,workload1_entailment,4209e56a24934e24aef5f1a0a5e5af68,1.0
24662b184b9542ba9f3853f233530c89,8,Kevin McCarthy: “Pelosi will not be Speaker of the House”ECHO ECHO ECHO!!!!! Make this go viral!Stand With President Trump#Trump2020LandslideVictory #Trump2020Landslide #Trump2020 #TRUMP2020ToSaveAmerica #AmericaFirst #VoteRed2020 #VoteRedToSaveAmerica2020 #VoteRedToSaveAmerica #RedWave #RedWave2020 #WeThePeople #1A #2A #2AShallNOTBeInfringed #NRA #USA #PJNET #AllLivesMatter #StandUpForAmerica #TrumpRally #TrumpRally2020 #SCOTUS #SupremeCourt #PromisesMadePromisesKept #PromisesKept #stopthesteal #StopTheCoup #4MoreYears #FourMoreYears #AuditTheVote #AuditTheElection #AuditTheBallots #LegalVotesOnly #CountEveryLegalVote #DeclassifyEverything #DominionVotingSystems #GodWins #HoldTheLine #echo #viral #Trending #Trend,20201112063137.0,4cec21e61e90456ea5c64f1f738c180a,,False,59.0,Darkman3500,,0.86760974,workload1_entailment,24662b184b9542ba9f3853f233530c89,2.0
2972ec6c57fe4c88b72d390fe36a5d87,8,#trump2020 #wwg1wga,20200908215407.0,72409f5ccc604a98af0d6fed4a08a9ca,,False,26.0,Shenole13,,0.3594954,workload1_entailment,2972ec6c57fe4c88b72d390fe36a5d87,1.0
7a5b50f6d68948e9bce5d3df6ef5c5b9,6,#trump2020,20201221171019.0,8f91ea54265a4ee2a72c834e3add7c1f,,False,47.0,Gawddemmitt,,0.35366523,workload1_entailment,,
d4147a2145d345cfaa9e7de3ed30b1ca,6,America at crossroads: Think about this-A “presidential candidate” who has sold the nation and its middle class to China/Russia/Ukraine/Kazakhstan is not being exposed threadbare in front of the nation so that the people are informed about who they are voting for-A “presidential candidate” is shielded by media/big tech/Washington establishment from any scrutiny - in fact asking him a question is considered “journalistic malpractice” -A “presidential candidate” calls a “lid” on his campaign just 9 days before an election to avoid any scrutiny-A “presidential candidate” is being used as a Trojan horse to instill socialism in AmericaThis is a dangerous road that the country is on now. The only hope - a majority of well-informed voters will reject this path and re-elect President Trump!!,20201026042741.0,e2e33621639f435db0004242391b61ce,,False,45.0,MAGAPatriot88,,0.90310204,workload1_entailment,d4147a2145d345cfaa9e7de3ed30b1ca,1.0
